Day,Title,Activity Type,Category,Address,Description,Icon,Coordinates
Day 2,Silfra Fissure Snorkeling,Outdoor Recreation,Adventure,Þingvellir National Park,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Outdoor Recreation</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Snorkel between tectonic plates in crystal clear glacier water with visibility over 100 meters. The water is among the purest on Earth and stays a constant 35-39°F year-round.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/trail.png,"64.2559,-21.1299"
Day 2,Silfra Snorkeling Adventure,Premium Experience,Exclusive,"Silfra Fissure, Þingvellir National Park, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">⭐ Premium Experience</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Snorkel between two continental plates in the crystal-clear waters of Silfra Fissure, with visibility exceeding 100 meters. This once-in-a-lifetime experience allows you to literally touch both North America and Europe simultaneously.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"64.2559,-21.1299"
Day 2,Skálholt Cathedral,Historical,Cultural,Skálholt 801 Selfoss,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📜 Historical</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Explore this important historical site that served as Iceland's religious and educational center for 700 years. The current cathedral dates from 1963 but sits atop centuries of history.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/monument.png,"64.1266,-20.5234"
Day 2,Sólheimar Eco-Village,Rainy Day,Alternative,"Sólheimar Eco-Village, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Sólheimar Eco-Village, Iceland's first sustainable community, offering organic café, craft shops, and art galleries showcasing work by artists with disabilities in a sustainable setting.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"64.0666,-20.6404"
Day 2,Tungnaárfellsfoss Waterfall,Hidden Gem,Alternative,"Tungnaárfellsfoss, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">💎 Hidden Gem</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">One of Iceland's widest waterfalls, yet rarely visited. Accessible via Road 208 with any vehicle in summer, this hidden gem offers impressive views with far fewer tourists than the more famous waterfalls.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"64.1000,-19.1000"
Day 2,Þingvellir National Park,Hiking,Highlighted,"Þingvellir National Park, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">UNESCO World Heritage site where you can walk between the North American and Eurasian tectonic plates and visit the site of the world's first parliament. Explore this historically and geologically significant location (1-2 hours).</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"64.2559,-21.1299"
  Day 3,DC-3 Plane Wreck Photography Tour,Photography,Adventure,Sólheimasandur Beach South Iceland,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📸 Photography</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Professional photography guide to the famous crashed US Navy plane on a black sand beach. Learn techniques for capturing this iconic site in different lighting conditions.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/camera.png,"63.4590,-19.3650"
Day 3,Dyrhólaey Lighthouse Trail,Hiking,Nature,Dyrhólaey Peninsula South Iceland,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A <strong>short</strong> but steep hike to the iconic lighthouse with panoramic views of black sand beaches sea arches and the Mýrdalsjökull glacier. Important nesting area for puffins in summer.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.4029,-19.1212"
Day 3,Dyrhólaey Peninsula,Viewpoint,Alternative,"Dyrhólaey, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🔭 Viewpoint</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">120-meter high promontory with a large arch eroded by the sea, offering panoramic views of the black coastline, mountains, and glaciers. Good for puffin viewing in July.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/scenic.png,"63.4029,-19.1212"
Day 3,Fjaðrárgljúfur Canyon Trail,Hiking,Nature,Fjadrarglufur Canyon Road 206,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Spectacular 1.5-mile trail along the rim of this 328-foot deep canyon with views of winding river and moss-covered rock formations. The path offers multiple viewpoints and photo opportunities.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.7712,-18.1716"
Day 3,Hjörleifshöfði Cave Hike,Hiking,Adventure,Hjörleifshöfði Mountain Near Vík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A <strong>moderate</strong> 3-mile loop up this 725-foot mountain sea cliff that was once an island. Visit the cave where outlaws lived and climb to the burial mound of Viking settler Hjörleifur.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.4200,-18.7400"
Day 3,Icelandic Lava Show,Geological,Educational,"Lava Show, Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌋 Geological</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">The world's only exhibition where real molten lava is created indoors, allowing you to safely experience the heat, glow, and power of a volcanic eruption.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/volcano.png,"63.4186,-19.0060"
Day 3,Icelandic Lava Show Extended Visit,Cultural,Rainy Day,"Lava Show, Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This indoor demonstration of real flowing molten lava is fascinating regardless of weather and provides genuine geological education. Perfect for bad weather days.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"63.4186,-19.0060"
Day 3,Icewear Wool Factory Outlet,Rainy Day,Alternative,"Icewear Outlet, Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Icewear/Wool Factory Outlet in Vík, where you can shop for high-quality Icelandic wool products and learn about traditional wool processing while staying dry on a rainy day.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"63.4186,-19.0060"
Day 3,Katla Ice Cave Exploration,Ice Adventure,Adventure,South Coast Near Vík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">❄️ Ice Adventure</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit a natural ice cave on the Katla volcano that's accessible year-round unlike most ice caves. The black volcanic ash layers contrast dramatically with the blue ice formations.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/snowflake_simple.png,"63.4400,-19.1500"
Day 3,Kvernufoss Hidden Waterfall,Hiking,Nature,Near Skógafoss Waterfall,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This lesser-known 1-mile roundtrip hike leads to a delicate waterfall you can walk behind. Much less crowded than nearby Skógafoss and surrounded by beautiful green cliffs.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.5280,-19.4800"
Day 3,Kvernufoss Waterfall,Hidden Gem,Alternative,"Kvernufoss Waterfall, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">💎 Hidden Gem</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A hidden gem near Skógafoss, this waterfall requires a 30-minute hike but rewards visitors with fewer crowds and the ability to walk behind the cascading water.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"63.5280,-19.4800"
Day 3,Laufskálavarða Stone Cairn Field,Cultural,Historical,Ring Road Between Vík and Kirkjubæjarklaustur,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Ancient Viking tradition site where travelers build stone cairns for good luck. Stunning landscape of hundreds of small rock towers against black sand with mountain backdrop.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"63.5370,-18.4860"
Day 3,Lava Show in Vík,Rainy Day,Alternative,"Lava Show, Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">☔ Rainy Day</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Lava Show in Vík, the world's only exhibition where real molten lava is created indoors, allowing you to safely experience the heat, glow, and power of a volcanic eruption.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/rainy.png,"63.4186,-19.0060"
Day 3,Mýrdalsjökull Snowmobile Tour,Ice Adventure,Adventure,South Coast Near Vík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">❄️ Ice Adventure</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Race across Iceland's fourth-largest glacier on a guided snowmobile tour offering spectacular views of the south coast and interior highlands. No experience necessary.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/snowflake_simple.png,"63.5324,-19.3693"
Day 3,Private Super Jeep Tour to Þórsmörk,Premium Experience,Exclusive,"Þórsmörk Valley, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">⭐ Premium Experience</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Explore the hidden valley of Þórsmörk (Thor's Valley) in a private super jeep tour, crossing unbridged rivers and rugged terrain to reach this lush oasis surrounded by glaciers, mountains, and volcanic landscapes.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"63.6810,-19.5068"
Day 3,Reynisfjall Mountain Hike,Hiking,Alternative Hike,"Reynisfjall, near Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">A <strong>challenging</strong> 2-hour climb to the summit provides eagle-eye views over Reynisfjara Beach, the Reynisdrangar sea stacks, and on clear days, the Vestmannaeyjar islands.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.4145,-19.0360"
Day 3,Reynisfjara Black Sand Beach,Natural Wonder,Highlighted,"Reynisfjara Beach, Vík, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Famous black sand beach featuring striking basalt columns and sea stacks. Be extremely cautious of sneaker waves - never turn your back to the ocean and stay at least 20-30 feet from the water's edge, even on calm days.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"63.4042,-19.0662"
Day 3,Seljalandsfoss Waterfall,Natural Wonder,Highlighted,"Seljalandsfoss Waterfall, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This 200-foot waterfall plunges over an ancient sea cliff, creating the rare opportunity to walk behind a waterfall. The pathway behind the falls offers a unique perspective and unforgettable experience, though be prepared to get wet! Nearby, don't miss the hidden waterfall Gljúfrabúi tucked inside a canyon.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"63.6156,-19.9885"
Day 3,Seljavallalaug Mountain Pool,Hot Spring,Nature,Seljavellir Road Off Ring Road,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">♨️ Hot Spring</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Swim in this 1923 pool built into a mountainside and fed by natural hot springs. The 25-meter pool is one of Iceland's oldest and offers stunning views of the surrounding mountains.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/water.png,"63.5580,-19.6080"
Day 3,Skógafoss Waterfall,Natural Wonder,Highlighted,"Skógafoss Waterfall, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">One of Iceland's biggest and most beautiful waterfalls, Skógafoss drops 200 feet creating constant rainbows on sunny days. Climb the 527 steps to the viewing platform at the top for panoramic views of the coastline and highlands.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"63.5320,-19.5114"
Day 3,Skógar Folk Museum,Cultural,Alternative,"Skógar Museum, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Cultural</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Displaying traditional Icelandic turf houses and artifacts that provide insight into how Icelanders lived through the centuries. Visit the café for lunch options.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/arts.png,"63.5270,-19.5020"
Day 3,Skógar Museum Deep Dive,Museum,Rainy Day,"Skógar Museum, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏛️ Museum</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This extensive folk museum deserves more time than most visitors give it. The three museum sections and 40 historical buildings provide hours of Icelandic cultural immersion perfect for stormy days.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/museum.png,"63.5270,-19.5020"
Day 3,Skógárheiði Highland Path,Hiking,Alternative Hike,"Above Skógafoss, South Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🥾 Hiking</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This 4-6 km out-and-back path passes over 20 additional waterfalls most tourists never see. This trail follows the ancient Fimmvörðuháls route with panoramic views of glaciers and coastline without needing glacier equipment.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/hiker.png,"63.5320,-19.4700"
Day 3,Sólheimajökull Glacier Hike,Outdoor Recreation,Highlighted,"Sólheimajökull Glacier, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Outdoor Recreation</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Guided glacier hike on Sólheimajökull, an outlet glacier of Mýrdalsjökull ice cap, where you'll traverse blue ice, see unique ice formations, and learn about glacial geology. (Tour booking required)</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/trail.png,"63.5324,-19.3693"
Day 3,Sólheimajökull Glacier Walk,Ice Adventure,Adventure,Sólheimajökull Parking Lot,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">❄️ Ice Adventure</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Join a guided walk on this accessible glacier tongue with dramatic ice formations. Learn about glacial geology climate change and proper ice-hiking techniques with crampons and ice axes.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/snowflake_simple.png,"63.5324,-19.3693"
Day 3,Thakgil Hiking Area,Hidden Gem,Alternative,"Thakgil, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">💎 Hidden Gem</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Beautiful canyons and green valleys perfect for hiking, with stunning scenery that few tourists visit.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/star.png,"63.5500,-19.0700"
Day 3,The Barn Norðurfoss,Lodging,Booked,"The Barn, Norðurfoss, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #fff9c4; border: 1px solid #fff176; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏨 Lodging</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This rustic and charming hostel-style accommodation is housed in a converted barn, providing a cozy and authentic Icelandic experience. The property features communal spaces where you can mingle with other travelers, and the surrounding landscape offers beautiful mountain vistas.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/lodging.png,"63.7800,-18.0500"
Day 3,Vík Wool Factory,Shopping,Cultural,Víkurprjón Austurvegur 20 Vík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🛍️ Shopping</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit Iceland's largest wool factory store to see how traditional Icelandic sweaters are made. The store offers everything from raw wool to finished garments at better prices than Reykjavík.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/shopping.png,"63.4186,-19.0060"
Day 3,Vikurfjara Black Sand Beach,Natural Wonder,Highlighted,"Vikurfjara Beach, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This dramatic black sand beach offers the same stunning volcanic landscape as its more famous neighbor Reynisfjara, but with fewer crowds. The stark contrast between the black sand and crashing white waves creates a hauntingly beautiful scene, perfect for photography.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"63.4200,-19.0200"
Day 3,Zipline Adventure Vík,Outdoor Recreation,Outdoor,Base Camp Near Vík,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #e8f5e9; border: 1px solid #81c784; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Outdoor Recreation</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Soar over dramatic black sand beaches and volcanic landscapes on Iceland's longest zipline course featuring five separate lines ranging from 100-240 meters in length.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/trail.png,"63.4186,-19.0060"
Day 4,Airbnb near Höfn,Lodging,Booked,"Seljavöllum, Höfn í Hornafirði, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #fff9c4; border: 1px solid #fff176; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏨 Lodging</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">This double or twin accommodation is located at Seljavöllum, Höfn í Hornafirði. Being situated in this area gives you the advantage of being close to both the glacier lagoon attractions you've visited today and the East Fjords you'll explore tomorrow. </p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/lodging.png,"64.2500,-15.2100"
Day 4,Diamond Beach,Natural Wonder,Highlighted,"Diamond Beach, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Where crystal-like ice chunks from Jökulsárlón Glacier Lagoon wash up on black sands, creating a surreal landscape of sparkling 'diamonds' on the volcanic beach. Visit at different times if possible, as the ice formations constantly change with the tides.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"64.0444,-16.1789"
Day 4,Diamond Beach Photography Workshop,Photography,Educational,Jökulsárlón Beach,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">📸 Photography</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Join a local photographer for a 2-hour golden hour workshop focused on capturing the iconic ice chunks on black sand. Learn techniques for long exposure and maximizing the dynamic contrast.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/camera.png,"64.0444,-16.1789"
Day 4,Fjaðrárgljúfur Canyon,Natural Wonder,Alternative,"Fjaðrárgljúfur Canyon, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🌈 Natural Wonder</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Magnificent 100-meter deep and 2-kilometer long canyon formed during the last Ice Age, with winding trails along its rim offering spectacular views. Allow 1 hour for exploration.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/flag.png,"63.7712,-18.1716"
Day 4,Fjaðrárglúfur Canyon Ice Cream Farm,Culinary,Cultural,Near Canyon Parking Lot,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🍲 Culinary</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Visit this small family farm for locally made ice cream featuring uniquely Icelandic flavors like birch and skyr (Icelandic yogurt). Enjoy while overlooking volcanic landscapes.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/coffee.png,"63.7700,-18.1600"
Day 4,Fjallajökull Glacier Viewpoint,Viewpoint,Alternative,"Fjallajökull Glacier, Iceland","<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🔭 Viewpoint</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">An excellent viewpoint of another glacier tongue in the area, providing a different perspective of Iceland's ice caps.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/scenic.png,"64.0180,-16.3800"
Day 4,Fjallsárlón Glacier Lagoon,Scenic,Nature,Ring Road East of Skaftafell,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">🏞️ Scenic</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Less crowded alternative to Jökulsárlón with equally impressive views of the glacier meeting lagoon. Small café onsite serves hot chocolate with views of floating icebergs.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/photo.png,"64.0180,-16.3800"
Day 4,Hoffell Hot Tubs,Hot Spring,Nature,Hoffell Farm Near Höfn,"<div style=""font-family: Arial, sans-serif; max-width: 400px; background-color: #eceff1; border: 1px solid #b0bec5; padding: 12px; border-radius: 5px; margin: 8px 0;"">
    <h3 style=""margin-top: 0; color: #333;"">♨️ Hot Spring</h3>
    <p style=""font-size: 16px; line-height: 1.5; color: #444;"">Soak in converted milk containers now serving as rustic hot tubs with spectacular mountain views. These secluded hot pots are fed by natural geothermal springs.</p>
  </div>",http://maps.google.com/mapfiles/kml/shapes/water.png,"64.3950,-15.3380"
